"celltype","individual","replicate","barcode"
"CellType","Ind1","Rep1","cell_188"
"CellType","Ind1","Rep1","cell_189"
"CellType","Ind1","Rep1","cell_190"
"CellType","Ind1","Rep1","cell_191"
"CellType","Ind1","Rep1","cell_192"
"CellType","Ind1","Rep1","cell_193"
"CellType","Ind1","Rep1","cell_194"
"CellType","Ind1","Rep1","cell_195"
"CellType","Ind1","Rep1","cell_196"
"CellType","Ind1","Rep1","cell_197"
"CellType","Ind1","Rep1","cell_198"
"CellType","Ind1","Rep1","cell_199"
"CellType","Ind1","Rep1","cell_200"
"CellType","Ind1","Rep1","cell_201"
"CellType","Ind1","Rep1","cell_202"
"CellType","Ind1","Rep1","cell_203"
"CellType","Ind1","Rep1","cell_204"
"CellType","Ind1","Rep1","cell_205"
"CellType","Ind1","Rep1","cell_206"
"CellType","Ind1","Rep1","cell_207"
"CellType","Ind1","Rep1","cell_208"
"CellType","Ind1","Rep1","cell_209"
"CellType","Ind1","Rep1","cell_210"
"CellType","Ind1","Rep1","cell_211"
"CellType","Ind1","Rep1","cell_212"
"CellType","Ind1","Rep1","cell_213"
"CellType","Ind1","Rep1","cell_214"
"CellType","Ind1","Rep1","cell_215"
"CellType","Ind1","Rep1","cell_216"
"CellType","Ind1","Rep1","cell_217"
"CellType","Ind1","Rep1","cell_218"
"CellType","Ind1","Rep1","cell_219"
"CellType","Ind1","Rep1","cell_220"
"CellType","Ind1","Rep1","cell_221"
"CellType","Ind1","Rep1","cell_222"
"CellType","Ind1","Rep1","cell_223"
"CellType","Ind1","Rep1","cell_224"
"CellType","Ind1","Rep1","cell_225"
"CellType","Ind1","Rep1","cell_226"
"CellType","Ind1","Rep1","cell_227"
"CellType","Ind1","Rep1","cell_228"
"CellType","Ind1","Rep1","cell_229"
"CellType","Ind1","Rep1","cell_230"
"CellType","Ind1","Rep1","cell_231"
"CellType","Ind1","Rep1","cell_232"
"CellType","Ind1","Rep1","cell_233"
"CellType","Ind1","Rep1","cell_234"
"CellType","Ind1","Rep1","cell_235"
"CellType","Ind1","Rep1","cell_236"
"CellType","Ind1","Rep1","cell_237"
"CellType","Ind1","Rep1","cell_238"
"CellType","Ind1","Rep1","cell_239"
"CellType","Ind1","Rep1","cell_240"
"CellType","Ind1","Rep1","cell_241"
"CellType","Ind1","Rep1","cell_242"
"CellType","Ind1","Rep1","cell_243"
"CellType","Ind1","Rep1","cell_244"
"CellType","Ind1","Rep1","cell_245"
"CellType","Ind1","Rep1","cell_246"
"CellType","Ind1","Rep1","cell_247"
"CellType","Ind1","Rep1","cell_248"
"CellType","Ind1","Rep1","cell_249"
"CellType","Ind1","Rep1","cell_250"
"CellType","Ind1","Rep1","cell_251"
"CellType","Ind1","Rep1","cell_252"
"CellType","Ind1","Rep1","cell_253"
"CellType","Ind1","Rep1","cell_254"
"CellType","Ind1","Rep1","cell_255"
"CellType","Ind1","Rep1","cell_256"
"CellType","Ind1","Rep1","cell_257"
"CellType","Ind1","Rep1","cell_258"
"CellType","Ind1","Rep1","cell_259"
"CellType","Ind1","Rep1","cell_260"
"CellType","Ind1","Rep1","cell_261"
"CellType","Ind1","Rep1","cell_262"
"CellType","Ind1","Rep1","cell_263"
"CellType","Ind1","Rep1","cell_264"
"CellType","Ind1","Rep1","cell_265"
"CellType","Ind1","Rep1","cell_266"
"CellType","Ind1","Rep1","cell_267"
"CellType","Ind1","Rep1","cell_268"
"CellType","Ind1","Rep1","cell_269"
"CellType","Ind1","Rep1","cell_270"
"CellType","Ind1","Rep1","cell_271"
"CellType","Ind1","Rep1","cell_272"
"CellType","Ind1","Rep1","cell_273"
"CellType","Ind1","Rep1","cell_274"
"CellType","Ind1","Rep1","cell_275"
"CellType","Ind1","Rep1","cell_276"
"CellType","Ind1","Rep1","cell_277"
"CellType","Ind1","Rep1","cell_278"
"CellType","Ind1","Rep1","cell_279"
"CellType","Ind1","Rep1","cell_280"
"CellType","Ind1","Rep1","cell_281"
"CellType","Ind1","Rep1","cell_282"
"CellType","Ind1","Rep1","cell_283"
"CellType","Ind1","Rep1","cell_284"
"CellType","Ind1","Rep1","cell_285"
"CellType","Ind1","Rep1","cell_286"
"CellType","Ind1","Rep1","cell_287"
"CellType","Ind1","Rep1","cell_288"
"CellType","Ind1","Rep1","cell_289"
"CellType","Ind1","Rep1","cell_290"
"CellType","Ind1","Rep1","cell_291"
"CellType","Ind1","Rep1","cell_292"
"CellType","Ind1","Rep1","cell_293"
"CellType","Ind1","Rep1","cell_294"
"CellType","Ind1","Rep1","cell_295"
"CellType","Ind1","Rep1","cell_296"
"CellType","Ind1","Rep1","cell_297"
"CellType","Ind1","Rep1","cell_298"
"CellType","Ind1","Rep1","cell_299"
"CellType","Ind1","Rep1","cell_300"
"CellType","Ind1","Rep1","cell_301"
"CellType","Ind1","Rep1","cell_302"
"CellType","Ind1","Rep1","cell_303"
"CellType","Ind1","Rep1","cell_304"
"CellType","Ind1","Rep1","cell_305"
"CellType","Ind1","Rep1","cell_306"
"CellType","Ind1","Rep1","cell_307"
"CellType","Ind1","Rep1","cell_308"
"CellType","Ind1","Rep1","cell_309"
"CellType","Ind1","Rep1","cell_310"
"CellType","Ind1","Rep1","cell_311"
"CellType","Ind1","Rep1","cell_312"
"CellType","Ind1","Rep1","cell_313"
"CellType","Ind1","Rep1","cell_314"
"CellType","Ind1","Rep1","cell_315"
"CellType","Ind1","Rep1","cell_316"
"CellType","Ind1","Rep1","cell_317"
"CellType","Ind1","Rep1","cell_318"
"CellType","Ind1","Rep1","cell_319"
"CellType","Ind1","Rep1","cell_320"
"CellType","Ind1","Rep1","cell_321"
"CellType","Ind1","Rep1","cell_322"
"CellType","Ind1","Rep1","cell_323"
"CellType","Ind1","Rep1","cell_324"
"CellType","Ind1","Rep1","cell_325"
"CellType","Ind1","Rep1","cell_326"
"CellType","Ind1","Rep1","cell_327"
"CellType","Ind1","Rep1","cell_328"
"CellType","Ind1","Rep1","cell_329"
"CellType","Ind1","Rep1","cell_330"
"CellType","Ind1","Rep1","cell_331"
"CellType","Ind1","Rep1","cell_332"
"CellType","Ind1","Rep1","cell_333"
"CellType","Ind1","Rep1","cell_334"
"CellType","Ind1","Rep1","cell_335"
"CellType","Ind1","Rep1","cell_336"
"CellType","Ind1","Rep1","cell_337"
"CellType","Ind1","Rep1","cell_338"
"CellType","Ind1","Rep1","cell_339"
"CellType","Ind1","Rep1","cell_340"
"CellType","Ind1","Rep1","cell_341"
"CellType","Ind1","Rep1","cell_342"
"CellType","Ind1","Rep1","cell_343"
"CellType","Ind1","Rep1","cell_344"
"CellType","Ind1","Rep1","cell_345"
"CellType","Ind1","Rep1","cell_346"
"CellType","Ind1","Rep1","cell_347"
"CellType","Ind1","Rep1","cell_348"
"CellType","Ind1","Rep1","cell_349"
"CellType","Ind1","Rep1","cell_350"
"CellType","Ind1","Rep1","cell_351"
"CellType","Ind1","Rep1","cell_352"
"CellType","Ind1","Rep1","cell_353"
"CellType","Ind1","Rep1","cell_354"
"CellType","Ind1","Rep1","cell_355"
"CellType","Ind1","Rep1","cell_356"
"CellType","Ind1","Rep1","cell_357"
"CellType","Ind1","Rep1","cell_358"
"CellType","Ind1","Rep1","cell_359"
"CellType","Ind1","Rep1","cell_360"
"CellType","Ind1","Rep1","cell_361"
"CellType","Ind1","Rep1","cell_362"
"CellType","Ind1","Rep1","cell_363"
"CellType","Ind1","Rep1","cell_364"
"CellType","Ind1","Rep1","cell_365"
"CellType","Ind1","Rep1","cell_366"
"CellType","Ind1","Rep1","cell_367"
"CellType","Ind1","Rep1","cell_368"
"CellType","Ind1","Rep1","cell_369"
"CellType","Ind1","Rep1","cell_370"
"CellType","Ind1","Rep1","cell_371"
"CellType","Ind1","Rep1","cell_372"
"CellType","Ind1","Rep1","cell_373"
"CellType","Ind1","Rep1","cell_374"
"CellType","Ind1","Rep1","cell_375"
"CellType","Ind1","Rep1","cell_376"
"CellType","Ind1","Rep1","cell_377"
"CellType","Ind1","Rep1","cell_378"
"CellType","Ind1","Rep1","cell_379"
"CellType","Ind1","Rep1","cell_380"
"CellType","Ind1","Rep1","cell_381"
"CellType","Ind1","Rep1","cell_382"
"CellType","Ind1","Rep1","cell_383"
"CellType","Ind1","Rep1","cell_384"
"CellType","Ind1","Rep1","cell_385"
"CellType","Ind1","Rep1","cell_386"
"CellType","Ind1","Rep1","cell_387"
"CellType","Ind1","Rep1","cell_388"
"CellType","Ind1","Rep1","cell_389"
"CellType","Ind1","Rep1","cell_390"
"CellType","Ind1","Rep1","cell_391"
"CellType","Ind1","Rep1","cell_392"
"CellType","Ind1","Rep1","cell_393"
"CellType","Ind1","Rep1","cell_394"
"CellType","Ind1","Rep1","cell_395"
"CellType","Ind1","Rep1","cell_396"
"CellType","Ind1","Rep1","cell_397"
"CellType","Ind1","Rep1","cell_398"
"CellType","Ind1","Rep1","cell_399"
"CellType","Ind1","Rep1","cell_400"
"CellType","Ind1","Rep1","cell_401"
"CellType","Ind1","Rep1","cell_402"
"CellType","Ind1","Rep1","cell_403"
"CellType","Ind1","Rep1","cell_404"
"CellType","Ind1","Rep1","cell_405"
"CellType","Ind1","Rep1","cell_406"
"CellType","Ind1","Rep1","cell_407"
"CellType","Ind1","Rep1","cell_408"
"CellType","Ind1","Rep1","cell_409"
"CellType","Ind1","Rep1","cell_410"
"CellType","Ind1","Rep1","cell_411"
"CellType","Ind1","Rep1","cell_412"
"CellType","Ind1","Rep1","cell_413"
"CellType","Ind1","Rep1","cell_414"
"CellType","Ind1","Rep1","cell_415"
"CellType","Ind1","Rep1","cell_416"
"CellType","Ind1","Rep1","cell_417"
"CellType","Ind1","Rep1","cell_418"
"CellType","Ind1","Rep1","cell_419"
"CellType","Ind1","Rep1","cell_420"
"CellType","Ind1","Rep1","cell_421"
"CellType","Ind1","Rep1","cell_422"
"CellType","Ind1","Rep1","cell_423"
"CellType","Ind1","Rep1","cell_424"
"CellType","Ind1","Rep1","cell_425"
"CellType","Ind1","Rep1","cell_426"
"CellType","Ind1","Rep1","cell_427"
"CellType","Ind1","Rep1","cell_428"
"CellType","Ind1","Rep1","cell_429"
"CellType","Ind1","Rep1","cell_430"
"CellType","Ind1","Rep1","cell_431"
"CellType","Ind1","Rep1","cell_432"
"CellType","Ind1","Rep1","cell_433"
"CellType","Ind1","Rep1","cell_434"
"CellType","Ind1","Rep1","cell_435"
"CellType","Ind1","Rep1","cell_436"
"CellType","Ind1","Rep1","cell_437"
"CellType","Ind1","Rep1","cell_438"
"CellType","Ind1","Rep1","cell_439"
"CellType","Ind1","Rep1","cell_440"
"CellType","Ind1","Rep1","cell_441"
"CellType","Ind1","Rep1","cell_442"
"CellType","Ind1","Rep1","cell_443"
"CellType","Ind1","Rep1","cell_444"
"CellType","Ind1","Rep1","cell_445"
"CellType","Ind1","Rep1","cell_446"
"CellType","Ind1","Rep1","cell_447"
"CellType","Ind1","Rep1","cell_448"
"CellType","Ind1","Rep1","cell_449"
"CellType","Ind1","Rep1","cell_450"
"CellType","Ind1","Rep1","cell_451"
"CellType","Ind1","Rep1","cell_452"
"CellType","Ind1","Rep1","cell_453"
"CellType","Ind1","Rep1","cell_454"
"CellType","Ind1","Rep1","cell_455"
"CellType","Ind1","Rep1","cell_456"
"CellType","Ind1","Rep1","cell_457"
"CellType","Ind1","Rep1","cell_458"
"CellType","Ind1","Rep1","cell_459"
"CellType","Ind1","Rep1","cell_460"
"CellType","Ind1","Rep1","cell_461"
"CellType","Ind1","Rep1","cell_462"
"CellType","Ind1","Rep1","cell_463"
"CellType","Ind1","Rep1","cell_464"
"CellType","Ind1","Rep1","cell_465"
"CellType","Ind1","Rep1","cell_466"
"CellType","Ind1","Rep1","cell_467"
"CellType","Ind1","Rep1","cell_468"
"CellType","Ind1","Rep1","cell_469"
"CellType","Ind1","Rep1","cell_470"
"CellType","Ind1","Rep1","cell_471"
"CellType","Ind1","Rep1","cell_472"
"CellType","Ind1","Rep1","cell_473"
"CellType","Ind1","Rep1","cell_474"
"CellType","Ind1","Rep1","cell_475"
"CellType","Ind1","Rep1","cell_476"
"CellType","Ind1","Rep1","cell_477"
"CellType","Ind1","Rep1","cell_478"
"CellType","Ind1","Rep1","cell_479"
"CellType","Ind1","Rep1","cell_480"
"CellType","Ind1","Rep1","cell_481"
"CellType","Ind1","Rep1","cell_482"
"CellType","Ind1","Rep1","cell_483"
"CellType","Ind1","Rep1","cell_484"
"CellType","Ind1","Rep1","cell_485"
"CellType","Ind1","Rep1","cell_486"
"CellType","Ind1","Rep1","cell_487"
"CellType","Ind1","Rep1","cell_488"
"CellType","Ind1","Rep1","cell_489"
"CellType","Ind1","Rep1","cell_490"
"CellType","Ind1","Rep1","cell_491"
"CellType","Ind1","Rep1","cell_492"
"CellType","Ind1","Rep1","cell_493"
"CellType","Ind1","Rep1","cell_494"
"CellType","Ind1","Rep1","cell_495"
"CellType","Ind1","Rep1","cell_496"
"CellType","Ind1","Rep1","cell_497"
"CellType","Ind1","Rep1","cell_498"
"CellType","Ind1","Rep1","cell_499"
"CellType","Ind1","Rep1","cell_500"
"CellType","Ind1","Rep1","cell_501"
"CellType","Ind1","Rep1","cell_502"
"CellType","Ind1","Rep1","cell_503"
"CellType","Ind1","Rep1","cell_504"
"CellType","Ind1","Rep1","cell_505"
"CellType","Ind1","Rep1","cell_506"
"CellType","Ind1","Rep1","cell_507"
"CellType","Ind1","Rep1","cell_508"
"CellType","Ind1","Rep1","cell_509"
"CellType","Ind1","Rep1","cell_510"
"CellType","Ind1","Rep1","cell_511"
"CellType","Ind1","Rep1","cell_512"
"CellType","Ind1","Rep1","cell_513"
"CellType","Ind1","Rep1","cell_514"
"CellType","Ind1","Rep1","cell_515"
"CellType","Ind1","Rep1","cell_516"
"CellType","Ind1","Rep1","cell_517"
"CellType","Ind1","Rep1","cell_518"
"CellType","Ind1","Rep1","cell_519"
"CellType","Ind1","Rep1","cell_520"
"CellType","Ind1","Rep1","cell_521"
"CellType","Ind1","Rep1","cell_522"
"CellType","Ind1","Rep1","cell_523"
"CellType","Ind1","Rep1","cell_524"
"CellType","Ind1","Rep1","cell_525"
"CellType","Ind1","Rep1","cell_526"
"CellType","Ind1","Rep1","cell_527"
"CellType","Ind1","Rep1","cell_528"
"CellType","Ind1","Rep1","cell_529"
"CellType","Ind1","Rep1","cell_530"
"CellType","Ind1","Rep1","cell_531"
"CellType","Ind1","Rep1","cell_532"
"CellType","Ind1","Rep1","cell_533"
"CellType","Ind1","Rep1","cell_534"
"CellType","Ind1","Rep1","cell_535"
"CellType","Ind1","Rep1","cell_536"
"CellType","Ind1","Rep1","cell_537"
"CellType","Ind1","Rep1","cell_538"
"CellType","Ind1","Rep1","cell_539"
"CellType","Ind1","Rep1","cell_540"
"CellType","Ind1","Rep1","cell_541"
"CellType","Ind1","Rep1","cell_542"
"CellType","Ind1","Rep1","cell_543"
"CellType","Ind1","Rep1","cell_544"
"CellType","Ind1","Rep1","cell_545"
"CellType","Ind1","Rep1","cell_546"
